地区ID,地区_中文,地区_英文,人口_manpower,地区类型,地区建筑槽,本地补给,不可通行,拥有者TAG,拥有者_中文,拥有者_英文,控制者TAG,省份数,省份ID列表,胜利点城市数,胜利点合计,胜利点列表,资源,地区建筑,省份建筑,核心TAG,宣称TAG,其他历史字段,日期历史,来源州文件
805,北伊庇鲁斯,Northern Epirus,262200,pastoral,1,0.0,no,ALB,阿尔巴尼亚王国,Albanian Kingdom,,3,914 13234 13235,1,1,914:吉罗卡斯特(1),,"{""infrastructure"": 1}",,ALB,GRE;ITA,,"{""1939.4.12"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [""remove_claim_by""], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\805-Northern Epirus.txt
806,比利牛斯-大西洋,Pyrénées-Atlantiques,280723,town,4,0.0,no,FRA,波旁法国,Bourbon France,,3,743 9710 11697,1,3,9710:巴约讷(3),,"{""infrastructure"": 3}",,NAV;FRA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\806-French Basque Country.txt
807,格丁尼亚,Gdynia,713370,city,6,0.0,no,POL,波兰,Poland,,8,243 279 334 389 3295 3324 6347 9263,3,11,9263:格丁尼亚(5); 3295:托伦(5); 279:比得哥什(1),,"{""air_base"": 2, ""arms_factory"": 2, ""industrial_complex"": 1, ""infrastructure"": 3}","{""9263"": {""naval_base"": 1}}",POL;KSH,PRE,,"{""1938.3.12"": {""claims"": [""GER""], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\807-Gdynia.txt
808,里加,Rīga,420250,city,6,0.0,no,LAT,拉脱维亚,Latvia,,3,9240 9340 10323,1,5,9340:里加(5),"{""steel"": 1.0}","{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 4, ""infrastructure"": 3}","{""9340"": {""naval_base"": 3}}",LAT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\808-Riga.txt
809,泽姆加里,Zemgale,215500,town,4,0.0,no,LAT,拉脱维亚,Latvia,,6,265 3255 3525 6222 6342 11358,2,4,310:陶格夫匹尔斯(3); 222:雷泽克内(1),,"{""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,LAT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\809-Latgale.txt
810,拉特加尔,Latgale,600250,town,4,0.0,no,LAT,拉脱维亚,Latvia,,9,222 310 319 341 3298 6459 7482 9275 11222,2,4,6222:叶尔加瓦(3); 3255:叶卡布皮尔斯(1),,"{""air_base"": 3, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}","{""310"": {""bunker"": 2}}",LAT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\810-Zemgale.txt
811,萨列马,Saaremaa,32370,small_island,1,0.0,no,EST,爱沙尼亚,Estonia,,2,185 6201,1,1,185:库雷萨雷(1),,"{""infrastructure"": 1}",,EST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\811-Saaremaa.txt
812,哈尔尤,Harju,275220,city,6,0.0,no,EST,爱沙尼亚,Estonia,,4,496 567 3152 11426,1,5,3152:塔林(5),,"{""arms_factory"": 1, ""industrial_complex"": 3, ""infrastructure"": 3}","{""3152"": {""coastal_bunker"": 1, ""naval_base"": 3}}",EST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\812-Tallinn.txt
813,维鲁玛,Virumaa,150560,rural,2,0.0,no,EST,爱沙尼亚,Estonia,,7,4640 6099 9079 11057 11127 11443 13127,2,2,4640:纳尔瓦(1); 11127:拉克韦雷(1),,"{""infrastructure"": 3}","{""4640"": {""naval_base"": 1}}",EST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\813-Rakvere.txt
814,苏杜瓦,Sūduva,219740,town,4,0.0,no,LIT,立陶宛,Lithuania,,4,3272 6281 6407 11312,1,1,11312:马里扬泊列(1),,"{""air_base"": 4, ""arms_factory"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,LIT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\814-Suduva.txt
815,奥克斯泰体哈,Aukštaitija,161450,town,4,0.0,no,LIT,立陶宛,Lithuania,,8,530 6229 6376 9246 9374 9438 11226 11498,1,1,6229:帕内韦日斯(1),,"{""infrastructure"": 2}",,LIT,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\815-Aukstaitija.txt
816,西弗吉尼亚,West Virginia,1901974,town,4,0.0,no,USA,美利坚,America,,13,801 3941 3975 4627 6850 6958 6971 7466 7588 7646 9923 10441 11888,1,3,7588:查尔斯顿(3),"{""coal"": 88}","{""air_base"": 3, ""industrial_complex"": 2, ""infrastructure"": 3}",,USA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\816-West Virginia.txt
817,戈壁,Gobi,11000,wasteland,0,0.0,no,MON,大蒙古国,Great Mongolian State,,29,1723 1781 1787 1853 1855 4655 4729 4786 4856 4858 7749 7752 7806 7864 10558 10560 10575 10632 10634 10689 10695 10704 12539 12541 12544 12612 12614 12669 12686,1,1,12612:赛音山达(1),,"{""infrastructure"": 1}",,MON,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\817-Gobi.txt
818,科布多,Khovd,149000,pastoral,1,0.0,no,MON,大蒙古国,Great Mongolian State,,12,1774 4751 4777 7773 7808 7843 7870 10539 10563 10669 12520 12695,1,1,7843:乌兰固木(1),,"{""infrastructure"": 1}",,MON,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\818-Khovd.txt
819,东方,Dornod,88250,pastoral,1,0.0,no,MON,大蒙古国,Great Mongolian State,,13,1743 1868 4792 4873 7823 7885 10578 10647 10708 12533 12557 12629 12665,1,1,12557:巴彦图门(1),,"{""infrastructure"": 1}",,MON,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\819-Dornod.txt
820,库苏古尔,Khövsgöl,88200,pastoral,1,0.0,no,MON,大蒙古国,Great Mongolian State,,8,1689 1791 1834 4882 7676 7717 12579 12649,2,3,7717:达尔汗(2); 7676:额尔登特(1),,"{""infrastructure"": 1}",,MON,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\820-Khovsgol.txt
821,车臣-印古什,Chechnya-Ingushetia,731985,rural,2,0.0,no,SOV,俄罗斯,Russia,,6,666 670 1455 3667 3672 6689,1,5,3672:格罗兹尼(5),"{""oil"": 9}","{""infrastructure"": 2}",,SOV;CIN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\821 - Chenchnya-Ingushetia.txt
822,楚科奇,Chukotka,31182,pastoral,1,0.0,no,SOV,俄罗斯,Russia,,4,4744 5264 13062 13063,1,1,13063:阿纳德尔(1),,"{""infrastructure"": 1}",,SOV;CKK;FER,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\822 - Chukotka.txt
823,卡拉卡尔帕克斯坦,Karakalpakstan,258430,rural,2,0.0,no,SOV,俄罗斯,Russia,,12,1479 1576 1614 1721 4488 4618 7541 10348 12233 12471 12474 13207,1,1,1614:努库斯(1),,"{""infrastructure"": 2}",,SOV;UZB;KKP,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\823 - Karakalpakstan.txt
824,亚马尔,Yamalia,21974,pastoral,1,0.0,no,SOV,俄罗斯,Russia,,10,96 1729 1757 3415 4761 7809 10536 10564 12517 12545,0,0,,,"{""infrastructure"": 1}",,SOV;YAM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\824 - Yamalia.txt
825,涅涅茨,Nenets,21795,rural,2,0.0,no,SOV,俄罗斯,Russia,,10,105 198 3147 6040 6192 9205 10207 11047 11119 12530,1,1,105:纳里扬马尔(1),"{""oil"": 7}","{""infrastructure"": 1}","{""12530"": {""naval_base"": 1}}",SOV;NEN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\825 - Nenetsia.txt
826,阿布哈兹,Abkhazia,491569,rural,2,0.0,no,SOV,俄罗斯,Russia,,4,672 11599 11617 11647,1,1,11617:苏呼米(1),,"{""industrial_complex"": 1, ""infrastructure"": 2}",,SOV;GEO;ABK,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 1}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\826 - Abkhazia.txt
827,卡巴尔达-巴尔卡尔,Kabardino-Balkaria,387990,pastoral,1,0.0,no,SOV,俄罗斯,Russia,,4,685 6674 9632 11614,1,1,11614:纳尔奇克(1),"{""chromium"": 17}","{""infrastructure"": 2}",,SOV;KBK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\827 - Kabardino-Balkaria.txt
828,北奥塞梯,North Ossetia,387990,rural,2,0.0,no,SOV,俄罗斯,Russia,,3,9628 9647 11609,1,3,9628:奥尔忠尼启则(3),"{""chromium"": 8}","{""infrastructure"": 2}",,SOV;NOA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\828 - North Ossetia.txt
829,恩格斯-马克思施塔特,Engels-Marxstadt,618530,rural,2,9.0,no,SOV,俄罗斯,Russia,,12,3517 3518 6479 6506 6539 6575 6601 9432 9475 11395 11460 11523,2,3,11523:恩格斯城(2); 9432:马克思施塔特(1),"{""steel"": 14, ""tungsten"": 6}","{""infrastructure"": 3}",,SOV;VGE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\829 - Volga Germany.txt
830,布哈拉,Bukhara,2189596,rural,2,2.0,no,SOV,俄罗斯,Russia,,10,1573 1623 7639 7775 10205 10470 10671 12161 12239 12722,2,3,1573:布哈拉(2); 10671:撒马尔罕(1),,"{""air_base"": 1, ""industrial_complex"": 1, ""infrastructure"": 2}",,SOV;UZB;BUK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\830 - Bukhara.txt
831,希瓦,Khiva,258430,rural,2,0.0,no,SOV,俄罗斯,Russia,,5,10395 10435 12324 12454 12465,1,1,12465:希瓦(1),,"{""infrastructure"": 2}",,SOV;UZB;KKP;KHI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\831 - Khiva.txt
832,塔沙乌兹,Tashauz,133065,pastoral,1,4.0,no,SOV,俄罗斯,Russia,,4,1493 1649 7618 10485,1,1,1493:塔沙乌兹(1),,"{""industrial_complex"": 1, ""infrastructure"": 1}",,SOV;TMS;KHI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\832 - Dashhowuz.txt
833,马里埃尔,Mari El,786030,town,4,0.0,no,SOV,俄罗斯,Russia,,17,282 325 3315 3361 6307 6372 6403 9270 9280 9305 9381 9390 9402 11255 11263 11286 11387,1,1,9402:约什卡尔奥拉(1),,"{""infrastructure"": 2}",,SOV;MEL,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\833 - Mari El.txt
834,巴尔塔-蒂拉斯波尔,Balta-Tiraspol,183748,rural,2,6.0,no,SOV,俄罗斯,Russia,,4,741 754 3757 9576,2,3,3757:巴尔塔(2); 741:蒂拉斯波尔(1),,"{""infrastructure"": 2}",,SOV;UKR;MOL,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""industrial_complex"": 2}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\834 - Balta.txt
835,哈勒尔盖,Hararghe,1500000,rural,2,0.0,no,ETH,埃塞俄比亚,Ethiopia,,6,7980 12714 12757 12812 13249 13253,3,6,7980:德雷达瓦(2); 13249:哈勒尔(3); 12812:瓦尔瓦尔(1),,"{""air_base"": 1, ""industrial_complex"": 1}",,ETH;SOM;HAR,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\835-Haraghe.txt
836,巴莱,Bale,800000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,3,4995 10775 13248,1,1,10775:戈巴(1),,,,ETH;SOM;ORO,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\836-Bale.txt
837,锡达莫,Sidamo,950000,rural,2,0.0,no,ETH,埃塞俄比亚,Ethiopia,,4,8019 8062 13246 13247,3,4,8019:亚贝洛(1); 13246:伊尔加阿勒姆(2); 13247:莫亚莱(1),"{""rubber"": 3}",,,ETH;SID;ORO,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\837-Sidamo.txt
838,伊路巴博-咖法,Illubabor-Kaffa,600000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,3,7912 13244 13245,2,3,13244:甘贝拉(2); 7912:吉仁(1),"{""rubber"": 2}",,,ETH;GBA,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\838-Illubabor.txt
839,沃莱加,Welega,600000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,3,2009 12856 13243,2,3,2009:阿索萨(2); 13243:萨约(1),,,,ETH;BEG;ORO,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\839-Welega.txt
840,戈贾姆,Gojjam,900000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,2,4954 13242,1,2,13242:德卜勒马科斯(2),,,,ETH;BEG,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\840-Gojjam.txt
841,贝根德尔,Begemder,1100000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,4,1984 2040 13137 13241,1,2,1984:贡德尔(2),,,,ETH;QEM,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\841-Begemder.txt
842,提格雷,Tigray,1000000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,3,2072 13237 13238,3,4,2072:默克莱(2); 13237:阿克苏姆(1); 13238:阿杜瓦(1),,,,ETH;TIG,ERI,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\842-Tigray.txt
843,沃洛,Wello,650000,pastoral,1,0.0,no,ETH,埃塞俄比亚,Ethiopia,,2,5097 7944,1,1,5097:德塞(1),,,,ETH;AFA,,add_dynamic_modifier;set_variable,"{""1936.6.1"": {""claims"": [], ""controller"": ""ITA"", ""cores"": [], ""other_keys"": [], ""owner"": ""ITA"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\843-Wello.txt
844,朱巴兰,Jubaland,1028895,pastoral,1,0.0,no,ITA,意大利王国,Kingdom of Italy,,2,11014 12941,1,1,12941:基斯马尤(1),,"{""infrastructure"": 2}","{""12941"": {""naval_base"": 2}}",SOM,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\844-jubaland.txt
845,汝拉山脉,Jura Mountains,2067296,large_town,5,0.0,no,SWI,赫尔维蒂军政府,Helvetic Junta,,5,6666 6683 9622 9638 13124,2,10,9638:巴塞尔(5); 6666:日内瓦(5),"{""aluminium"": 18, ""coal"": 1}","{""arms_factory"": 1, ""industrial_complex"": 2, ""infrastructure"": 3}",,SWI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\845-Jura Mountains.txt
846,提契诺,Ticino,160553,town,4,0.0,no,SWI,赫尔维蒂军政府,Helvetic Junta,,2,9600 3641,1,1,9600:卢加诺(1),"{""aluminium"": 15}","{""industrial_complex"": 1, ""infrastructure"": 2}",,SWI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\846-Ticino.txt
847,西瑞士阿尔卑斯,Western Swiss Alps,178429,pastoral,1,0.0,no,SWI,赫尔维蒂军政府,Helvetic Junta,,4,636 9587 3612 9618,0,0,,,"{""industrial_complex"": 1, ""infrastructure"": 1}",,SWI,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\847-Western Swiss Alps.txt
848,福拉尔贝格,Vorarlberg,154354,pastoral,1,0.0,no,AUS,奥地利,Austria,,2,6678 6680,0,0,,,"{""industrial_complex"": 1, ""infrastructure"": 2}",,AUS,SWI,,"{""1938.3.12"": {""claims"": [], ""controller"": ""GER"", ""cores"": [""GER""], ""other_keys"": [], ""owner"": ""GER"", ""province_buildings"": {}, ""state_buildings"": {}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\848-Voralberg.txt
849,普利亚,Puglia,2642000,city,6,0.0,no,ITA,意大利王国,Kingdom of Italy,,8,883 6843 6939 6980 6979 9784 11837 11998,4,24,9784:巴里(3); 11998:布林迪西(3); 11837:塔兰托(15); 883:福贾(3),,"{""air_base"": 5, ""dockyard"": 4, ""industrial_complex"": 1, ""infrastructure"": 2}","{""11837"": {""naval_base"": 10, ""naval_headquarters"": {""allowed"": {""has_dlc"": ""No Compromise, No Surrender""}, ""level"": 1}}, ""9784"": {""naval_base"": 3}}",ITA;TTS,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {}, ""state_buildings"": {""dockyard"": 5}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\849-Puglia.txt
850,特伦蒂诺,Trentino,370739,town,4,0.0,no,ITA,意大利王国,Kingdom of Italy,,2,6631 9598,1,1,9598:特伦特(1),,"{""infrastructure"": 2}",,ITA;LBV,AUS,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\850-Trentino.txt
851,瓦尔,Var,485000,large_town,5,0.0,no,FRA,波旁法国,Bourbon France,,4,911 956 3928 3961,1,1,911:土伦(1),,"{""dockyard"": 3, ""infrastructure"": 3}","{""911"": {""coastal_bunker"": 1, ""naval_base"": 10}}",OCC;FRA,,,"{""1939.1.1"": {""claims"": [], ""controller"": """", ""cores"": [], ""other_keys"": [], ""owner"": """", ""province_buildings"": {""911"": {""naval_facility"": 1}}, ""state_buildings"": {""dockyard"": 1}, ""victory_points"": []}}",D:\Steam\steamapps\common\Hearts of Iron IV\history\states\851-Var.txt
852,伊斯特里亚,Istria,125850,town,4,0.0,no,ITA,意大利王国,Kingdom of Italy,,2,11564 11735,1,1,11564:里耶卡(1),"{""coal"": 2}","{""dockyard"": 1, ""infrastructure"": 3}","{""11564"": {""naval_base"": 2}}",ITA;YUG;CRO;LBV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\852-Istria.txt
853,卢布尔雅那,Ljubljana,333250,large_town,5,5.0,no,YUG,南斯拉夫,Yugoslavia,,2,6650 9627,1,3,9627:卢布尔雅那(3),,"{""infrastructure"": 3}",,YUG;SLV,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\853-Ljubljana.txt
854,焦夫,Jawf,5000,pastoral,1,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,5,2057 4974 8101 10815 10901,0,0,,,,,SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\854-Jawf.txt
855,塔布克,Tabuk,500000,pastoral,1,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,8,1033 2027 2095 5027 7970 8092 12101 12455,0,0,,,,,SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\855-Tabuk.txt
856,阿西尔-麦加,Asir-Makkah,500000,pastoral,1,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,6,1923 2090 5037 8073 10786 12883,2,6,12883:吉达(1); 5037:麦加(5),,"{""arms_factory"": 1, ""infrastructure"": 1}","{""12883"": {""naval_base"": 5}}",SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\856-Asir-Makkah.txt
857,卡西姆,Al-Qassim,5000,pastoral,1,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,5,4968 5058 10892 10923 12749,0,0,,,,,SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\857-Ha'il.txt
858,奈季兰,Najiran,69,pastoral,1,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,4,5006 8030 10870 12768,0,0,,,,,SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\858-Najiran.txt
859,达曼,Dammam,440000,rural,2,0.0,no,SAU,沙特阿拉伯,Saudi Arabia,,4,1955 10791 10850 12702,1,1,12702:达曼(1),"{""oil"": 3.0}","{""infrastructure"": 1}","{""12702"": {""naval_base"": 6}}",SAU,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\859-Dammam.txt
860,北海岸,Côte-Nord,110000,rural,2,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,7,7683 7807 7810 10534 10715 12600 13293,0,0,,,"{""infrastructure"": 1}",,CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\860-Cote-Nord.txt
861,萨格奈,Saguenay,50000,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,3,1657 4666 13164,0,0,,,"{""infrastructure"": 1}",,CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\861-Saguenay.txt
862,西魁北克,Ouest du Quebec,80000,rural,2,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,12,983 1341 1764 3911 7435 7875 10249 10700 11682 11902 12205 12276,0,0,,,"{""infrastructure"": 1}",,CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\862-ouest du quebec.txt
863,莫里斯,Maurice,70000,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,6,1356 4419 4769 7893 12223 13160,1,1,12223:萨格奈(1),,"{""infrastructure"": 2}",,CAN;QUE,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\863-Maurice.txt
864,育空地区,Yukon Territory,4230,wasteland,0,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,3,3606 7869 7891,0,0,,,,,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\864-Yukon.txt
865,北萨斯喀彻温,N. Saskatchewan,65605,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,9,1671 3800 4695 6779 12682 13168 13183 13185 13187,0,0,,,"{""infrastructure"": 1}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\865-Northern Saskatchewan.txt
866,安大略区,Districts of Ontario,10000,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,5,761 763 3736 4753 13315,0,0,,,"{""infrastructure"": 1}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\866-Districts of Ontario.txt
867,北曼尼托巴,Northern Manitoba,10000,pastoral,1,0.0,no,CAN,加拿大自由共和国,Free Canadian Republic,,8,5239 6728 7185 7782 9615 10585 10605 13182,0,0,,,"{""infrastructure"": 1}",,CAN,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\867-Northern Manitoba.txt
868,依善,Isan,2000000,town,4,0.0,no,SIA,暹罗王国,Kingdom of Siam,,18,1357 1535 1548 4511 4582 7516 7601 10384 10425 10438 12195 12264 12360 12373 12388 12402 12417 12431,1,1,10438:那空叻差是玛(1),,"{""infrastructure"": 1}",,SIA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\868-Isan.txt
869,兰纳,Lanna,2000000,town,4,0.0,no,SIA,暹罗王国,Kingdom of Siam,,9,1253 1488 1990 4496 7492 7531 7675 8045 10371,1,1,1488:清迈(1),"{""coal"": 1}","{""infrastructure"": 1}",,SIA,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\869-Lanna.txt
870,西北澳大利亚,North West Australia,1000,wasteland,0,0.0,no,AST,鸸鹋帝国,Emu Empire,,10,2201 5207 8152 8209 8247 10937 10958 11016 12993 13133,0,0,,,"{""infrastructure"": 1}",,AST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\870-North West Australia.txt
871,西南澳大利亚,South West Australia,50000,pastoral,1,0.0,no,AST,鸸鹋帝国,Emu Empire,,11,1526 2191 8200 10949 10969 10997 11011 12948 12962 12976 12990,0,0,,,"{""infrastructure"": 1}",,AST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\871-South West Australia.txt
872,北昆士兰,North Queensland,100000,rural,2,0.0,no,AST,鸸鹋帝国,Emu Empire,,19,1501 1514 1644 2166 2187 4505 4520 4648 7506 7525 7538 8230 10338 10350 10365 10378 12354 12367 12957,0,0,,,"{""infrastructure"": 1}",,AST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\872-North Queensland.txt
873,西南昆士兰,South West Queensland,10000,pastoral,1,0.0,no,AST,鸸鹋帝国,Emu Empire,,5,2116 2221 5198 10941 12949,0,0,,,"{""infrastructure"": 1}",,AST,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\873-South West Queensland.txt
874,马加丹,Magadan,63481,pastoral,1,0.0,no,SOV,俄罗斯,Russia,,3,1865 10540 12683,1,1,12683:马加丹(1),,"{""infrastructure"": 1}",,SOV;FER,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\874-Magadan.txt
875,楚科奇半岛,Chukchi Peninsula,30000,pastoral,1,0.0,no,SOV,俄罗斯,Russia,,2,13204 13254,1,1,13204:拉夫连季亚(1),,"{""infrastructure"": 1}","{""13204"": {""naval_base"": 1}}",SOV;CKK;FER,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\875-Chukchi Peninsulay.txt
876,乌达奇内,Udachny,12182,wasteland,0,0.0,no,SOV,俄罗斯,Russia,,5,1722 2853 3184 6085 13060,0,0,,,"{""infrastructure"": 1}",,SOV;YAK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\876-Udachny.txt
877,上扬斯克,Verkhoyansk,13055,wasteland,0,0.0,no,SOV,俄罗斯,Russia,,6,1745 2877 4878 6211 12549 12634,1,1,12549:上扬斯克(1),,"{""infrastructure"": 1}",,SOV;YAK,,,,D:\Steam\steamapps\common\Hearts of Iron IV\history\states\877-Verkhoyansk.txt
